,0
17,"UMIX

  
  
 

4327 N. Expressway 77/83
956-350-8686

Brownsville, TX 78521
966-543-5089
Ticket oe User : KRIST
Station Sales Rep KRIST
araO16 6:30:31 PM
Item Qty ice Total
Description
100027 1 625 5.25
PARIS
100026 1 4.95 4.95
LE CLASSIQUE
Subtotal 10. 20
Tax 0.84

Total 11.04

 
"
18,"at 12:49 PM

a |
~0 ""gy GUEST NUMBER 1S
2

   

IN-N-OUT BURGER SANTA CLARA
12:48 PM

2012-04-27
176 1 262 1110

Cashier: KEVIN DU
Check : 12

screenees A
HAMB >-00
W GRX LX TM Inst pro i

Counter-—Take Out
TAX 8.25% 27-09
Amount Due eile

Cash Tender
Change $3.00
THANK you, $.83

2012-04-27 lity i
°49 PM
"
19,"“Ut Pizeria & Tavern

  
  
 

 

5/12/2017 7:4

» Tidet #: 128 «
8:12 PH

    

THANK
"
20," 
   
    
   
    
  
 
  

__ Deccan Spice
771 Newark Avenue
Jersey City Local, NJ 07306
(201) 604-1772

Server: Com Station: 6
Order #: 80110 ar D e
Table: 2. ee

 

1 Dal Fry. -
1 Paneer Butter Masala 12.88

in Special Biryani

  

SUB TOTAL:
Tax 1:

18% TIPS:

TOTAL:

  

7/26/2019 10:56:49 PM
Jeb RE EDO OEE ERE
No returns or cancellations accepted once order
is placed. Exchange only for faulty items ONLY.

FEED ERE EEO ESSE SEE PEE

wut

 

 

 

 

 

 

 

 

 
"
21," 

HAWWI ETHIOPIAN RESTAU
1125 QUEEN ST
ALEXANDRIA, VA 22314 s
7037179740

et ORDER: Table 2
mine Dine In
Cashier: Mosa Tipe
13-Jul-2018 8:53:47P :
Transaction 000016
Guest 1
1 26.Fish Goulash
7 30.Dullet $
1 34, Vegetarian Dish ba

Subtotal

    
   
    
"
22,"Moonstar Restaurant

“TOTAL:

WM

40/29/2018 1

 

es 5
"
23,"Thai

GUST@

Thai Gusto Restaurant
2011 Hewitt Ave
Everett WA 98201
Tel. 425-252-3525 Fax. 425-252-3525

Welcome to Thai Gusto

Table 4
Date: 6/16/2017 12:36 PM
Server: PRACH (7.1)
Chang (2@$3.50) $7.00
$10.24

#L14 Garlic Delight
[Chicken] [5*****] [Smal] Brown Rice]
$10

#128 Red Curry

[Chicken] [5***+*] [Smal] Brown Rice]
Total 4 item(s)
Sales Tax

Grand Total $30.15

 

 

Tip Guide
758=$4.52, 18%=85.43, 20%=$6.03

Thank you very much.
Come back again.

- GUEST CHECK -
This is not a receipt.

 
"
24,"New Asia Buffet
14727.5 Rinaldi St.
San Fernando, CA 91340
Tel; (818)898-0880

WeekEnd Dinner
Date: ov-15-08-N Tine 7M # 84

Server ; 2
Tb#: D4
No. of Guest

2 Weeken Dinner
_2 Coke

AMOUNT ; 31.12
TAX(Sk) : 2.80

TOTAL : 33.92

(20%): 6.78
THANK YOU VERY MUCH,

 
"
25," 

McDonald’: 4e3-avract #3100
1617 N ESSTSA\ AVEN.2

  
 

LOS ANGEL! § }»| 954
TEP ed a4 fall

K3# 2 ee 7/20] 9 03:08 PM
Sidel Order 97
1 Dbl Qtr Cheesi 5. 9g

Special Requia: i
ADD \eaf Lettics 0.25
ADD Mac Sauce 0.40
Subtotal 6.64
Tax 0.63
Take-Out Total teal
Cashle3s eet
Change 0.00

MER# 439206
CARD T3SUER
BOW DEBIT CARD /\.W. a
TRANSACTION AMI) ti! 1.27
CHIP READ

AUTHORIZATION Dif = Ais 34

SEQ# 039988
AID: AQOOO000C4;

 

 

WcDonald'’s now avai alt 3 Or JberEATS

 
"
26," 
"
27,"MATIO, MAWAII
Longboards
92-161 Haipahe Place
Kapolei, HI 96707
(808) 679-4700

Server: Elijah J 01/11/2019
Check: 24016 12:46 PM
Table: 44/0 Dine In
Item Price
Green Salad 8,00
Ranch
Wagyu Cheeseburger 19.00
Medium Wel]
Garlic Fries 2.00
ADD RAW ONIONS& BACON PLZ
Drink of the Day 9,75
Tea 4.00
Subtotal $42.75
Shana Discount Breakfast -3,30
HI HNLKO 4.712% GET 1.86
Total $41.31

Gratuity MBB 3,00

Total Ese

  
"
28,"S|

 
 
   
     
  
   

  

LAS BURGERS w15
ee ierraten Ble
veritter, Cant sats
(682) 625-7484

 

 

 

eck 20018
2/0/18

 

 
   
 
 
  
 

249
Raspberry Toe Te
Weurger (174) 5.98
 secane bun «
“REGULARS
trad bacones 1.99
1 add avocado 8
3100
248

 

+ Nemonade ¢
SERV CHARGE 24)

 
  

Sb/ttl
Tax 27
*DRV THRU 34.21

  
 
 

Cash
"
29,"RINCON MEXICANO
99 BROADWAY

SOMERVILLE, MA 02145
6179661387

ORDER: 45
Dine In

Cashier: LORENZO REYES
09-May-2017 7:19:46P

Arroz
Taco De Pescado
Taco Tuesday Pollo
Taco D Carne Asada

2

2

2

1

1 Taco D Chorizo
1

1

1

1

1

Taco Tuesday Pastor

Horchata
Taco Tuesday Pollo

Taco D Cochinita
Taco D Carnitas

Subtotal
Tax

Total
Order 7JTOG77X6ANR8

 
"
30," 

1 Glass House Wine
1 Jumbo Coctal? Shriep
1 Escargot Bourgutgone 10
1 Veal Zingarta B.
1 duckTing ala Arancio B:

18 TOTAL: B
Tox 12 753

TOTAL:

BR

1«

:05 PM

 

>> Ticket
12/8/2017 4:

tetas
you for dini '
Fok yu for dng at Ve at

 

 

 

 
"
31,"Ape pe cbcsobagscba ob baicbii aber rae
laurel Tavern Hermosa Beach
0 Hermosa Benet
Hert 5a Beach, CA 90254
tel),
OW/12/19 1:23 PM
Waiter 80 Sophie
Table 501 Cust 1
Order 1388
JERE RE H SSS oa a aa oA

1 BTL BEER 5.00
1 BRUSSELS SPROUTS 8.00

CANTONESE TENDERS 11.00
1 GRILLED CHEESE 12.00
1 $ ADD GARLIC FRIES 4.50

Taxable: 40.50

Sub-total: 40.50
Taxes: 3.85

Total Due: 44.35

THANK YOU!!!
ALWAYS DRIVE SAFELY

Please visit our website:
www, laureltavern com
NSTAGRAM; @laurel tavern

 
"
32,"WINGS & THINGS
1717 DUTCH BRDY ELMONT, NY 11003
THANKS CALL AGAIN 516-341-7075

#168 , OUT
T’MAC&CHZ - SMXLL 1.19
1 COLL GRN - SMALL 1.19
1 CORN BREAD .62
“TS WINGS 5.75
SPCY FRY
TXTL 15
TOTL 39.50
CASH 3.50
CHNG

THANK YOU COME AGAIN
1

PH #
0168 20:14 #04 MAR.19'17 REGOOOT

 
"
33,"   
  
  
  
 
 
   
 
  
  
    

8030 Renaissance Parkway
Durham, NC 27713
(984) 329-2900

  
 

server: ANASTASHIA 05/18/2019
Table 57/1 12:25 PM
Guests: 2 g0001
Taco Salad 15.49
Ground Beef
Add Chicken Fajita 8.99
Pechuga de Pollo 18.99
ude 43.47
3.26
Total

46.73

Balance Due
"
34,"i
lacfource

 
"
35," 

ea a RE

a
> Please Pay at Cashier
1084 Yonkers Avenue Yonkers, NY 10704
(914) 237-5055
Copy of Receipt

1 Coffee $1.45

1 Tea $1.45

1 Waffle $5.50

1 Old Fashion French Toast $4.50
1 Side Home Fries $2.95
1 Banana $2.95
1 Whipped Cream $2.50
1 W/ 2 EGGS $2.95

Michael De Maio
AUGUST 13, 2017 3

E's serra

itz) a Ce) Comment

 
"
36,"PAPPADEAU XK

SEAFOOD KITCHEN

4 Copeland F ;
(817) 543-0544
www .Pappadeaux .com

0035 Table 72 #Party 3
SARAH H SvrCk; 2 12:11 11/18/17
DINE IN

1 Lump Crab & Spinach Dip 15.99
1 Cajun Combo 18.95
1 Lunch Shrimp & Andoui le ido

Sub Total: 48.85

Tax: ool

Sub Total: 52.76

11/18 12:45 TOTAL: 52). 76

Thank you for dining at Pappadeaux .
Tip Not Included

15% Heo

18% 9.50

20% 10.55

e-Gift Card Payment (19 Digits)

———

Present e-Gift Card for validation.

 
"
37,"Store #1291
Panda Exoress

Everett, WA
(425)710-0278

     

3/16/2013

3:41:24 PM
Order: 177437 Server: Tameka J
1 PARTY PK 18-22 139.00
CHOW MEIN
FRIED RICE
FRIED/C MEIN
ORANGE CKN.
GRILL TERIYAKI CKN
PEPPERCORN SHRIMP 12.00
SubTotal 151.00
TAX 13.89
Total 164.89
Cash 200.00
Change Sul

JIC OOO IOI IOI III OOOO I III II
FOCI CIO IOI III II I IOI IIR IK, :

FREE ENTREE ITEM!
HE VALUE YOUR OPINION!

Call 1-888-51-PANDA(72632) or
Visit pandaexpress.com/guest

 

x
x
*
*
x
*

a eH * DE OE
"
38,"Micros Demo System
Aelcone to Yogurt land
12502 North Kendall Drive
igmi, FL 33186
(305) 279-3478
Date: Sep07'18 09:28PM
Card Type; VISA
Acct #: XXXXXXXXXXXXIBHZ
Card Entry: SWIPED
Trans Type. PURCHASE

Trans Key; 1110080071933:
Auth Toda: 071410

Checl:: 1082

Server: 1041 melanie

oe
Tota 17.800

NO SIGNATURE REQUIRED
FOR PURCHASES UNDER $20. 00%*

 
"
39,"00'0$
GO'EL$

SO’ els
16° 0%
00"" 0$
80°21

OL 0$

aBueyo
31249

[e101

xe]
$juno9s!q.
[P40] gng

aos a4 BqUPS §

ally Ueet9 9
y9 ueoL Jay -

uyg a4 BIUBS Z

/ OOLE# NAYLeALIG

wa 2picy?l 9102/61/21
a] St J8pig | J8]S16ay
WO ‘SW¥O ULV
JAY NOSIOWH SOL8
SlbE-296 (916)
GLEOOL| UP S, 1H¥O

 
"
40,"THAI
SUKHCT!

  
  
    
  

SUKHOTHALSUSH! * ASIAN

FUSION
11786 SW 147 AVE UNIT 36
MIAMI FL 33196
7805//4888

http://www.sukhothaius.com

+s+*Order online www.sukhothaius.com*++*

ORDER: 0003
DINE-IN

Cashier: Sergio
19-Apr-2019 2:02:26P

pionsecliog 211209

Chicken Fried Rice And Egg $7.99
Lunch
California Tropic And Miso $7.99
Lunch
Add Two Tostones $1.00
Sprite $2.50
Perrier Sparkling Water $3.50
Subtotal $22.98
Tax $1.61
Service fees on tables. $3.45
Restaurant (15.0%)
Total $28.04

 

CREDIT CARD AUTH $28.04
"
41,"i
lacfource

 
"
42,"TRVIEW, NJ 07022
panne : (201) 840-842

Check :832869 Guests: 1
pate:02/11/19 Time:07:46pm

Table:23 Server :DANIELA
AA A
1 Guaca Chicharron $13.99
2 EMPANADA $3.00
1 PARGO FRITO $19.95
Ensalada
Aguacate
No Cebolla
No Cebolla Roja
1 MAR Y CHICKEN $17.00
Tostones
Tostones
€& TOGO 2 »»»DyDd»»DDDDD22)YDDDIPVDNMWDMY
1 SALMON A LA PLANCHA $16.00
Ensalada
Ensalada
aN a aa
Subtotal: $69.90
Void: -$17.95
Tax:: $3.44
Sbt] w/Tax: $73.34

Amt Due: $55 .39

 
"
43,"Bk sou. Fooo &
11318 YONKERS
YONKERS, NY >#

914-237-6083

June 23, 2019 at 2:33 PM

ORDER # 1019

 
"
44,"‘couRoH's KEN A4TIT

7635 WINNETKA L

CANOGA PARK CA 618 876.0490
7456 ami i |

   

 

 

00
6
IW {1

P19 peoio02
"
45,"   

   

y
Uw's RESTAURANT

Walk_in
347

pial: 20.78
tal 0.00
Tax: 1.25

 

 

PAID Cash

Thank You

—
"
46,"Araxi Burger Aventura
17861 BISCAYNE BLVD
Aventura, FL 33160
Server: Valerie P 03/17/19 5:3
Check #33

2 Vanilla Bean

Classic Burger 4oz
Route 66 Burger 80z

10% (10.00%)

Subtotal
Service Charge (18.00%)

Powered by Toast

 
"
47,"— ae

Kitchen & Pati

  
  
   
  

n
7390 Tavertave! n.com
ve

mass
cam 7 -968-880°

en 09/ 4 4
m
3 @16.00) 4
fark .
(3 69.50) 2
L
Subtotal

79,50
5.57

   
   
    

Tax
Total

Balance Due
"
48,"EXCELLENCE SERV!
Daily Gril
2501 Colorado Ave
Santa Monica, CA 90404

Server: Dana 11/01/2018
Table 54/1 7:30 PM

Guests: 2
#20027

Coke

Short Rib

Diet Coke

Crispy Naked Wings

Rib Eye Steak
Broccoli

Become a fan or write a review.
Find us on Facebook, Twitter & Yelp.

Subtotal 82.95
Tax 8.50
Total 91.45

Balance Due 91.45

Sign up @ DailyGrill.com
to Receive Exclusive
Offers & Promotions.

 
"
49,"KICKIN KAJUN KAPOLEI
Ka Makana Ali‘i
91-5431 Kapolei Parkway, Suite 426
Kapolei, HI 96707
(808) 628-4771

Date: 7/18/19, 5:47 PM

Margarita $6.00
+$4.00

Strawberry Daiquiri $6.00
Add Vodca +$4.00
Snow Combo $54.00
Kickin Sauce +$0.00
Mild +$0.00

Subtotal $74.00
Total Tax: $3.49

Total: $77.49

Receipt Total: $38.75

 

Suggested Gratuity
"
50,"   

, BAR
port?

   

HOLLYWOOD CAFE «&
AM Dining &""

     
 
 

ate: 09/08/2017 Time: 12:45'41

 
 

st
CHEESE STEAK
+AMERICAN CHS 0.75
+FRD ONION 10.49
Chix Cheesesteak :

    
   
  

SUB-TOTAL 2.22
Food Tax 1.74
Liquor Tax — 0.00
Other Taxes 0.00

Total Tax 1.14

OTAL 26.96

THANK YOU!
"
51,"   

 

POOR’S

    
   
   
   
   

GENERAL
TAVERN
45 MAIN STREET
HACKENSACK, NJ 07601
(201)487-5882

       
  
    
   
     
 
 
 

Check#:555149 Guests: 0
Date :04/10/16 Time: 12:30pm
Table: Server : VERONIQUE

  

‘SANA AIRES
40 BONELESS WINGS SPEC

 
  

ba EEN TY EME IR OSE IS
Subtotal: RD $10.00
Tax:: $0.70

Sbt] | wilex:

  
   
   
   

__ THANK YOU
CHOOSING
GENERAL POOR’S! 1

TIM

,
"
52,"aa. eae

 

285-41 Jericho Turnpike
Floral Park, NY 11001
Tel: 718,343-4816
ww snancysrestaurant .net

08 Tom

 

 

 
 

Guests: 2
09/24/2016 08
DINE IN
1 gl Ip White 1.18
Blue Hoon Tap 8.00
Mozzare} lakTonato 9.95
Pork Quesadilla 9.95
1 Fren Onion Soup 5.95
1 Pork Chop 21,95
1 Hanger Sizzle 24.95
SUBTOTAL 86.50
Tax

7.68
TOTAL DUE $94.18
"
53,"Primo

Family Restaurant

 
"
54,"BIG Jo's
1955 BROADWAY Jan 25, 2018
SANTA MONICA, CA 90404 11:47 AM

(310) 828-3191

www.bigjosburgers.com
————
Cash

Ticket: Shirley
Receipt QIxi

PICKUP Si mention
HB $4.00

Regular Price
$5.00

French Fries x 2

($2.50 each)
Turkey Burger $8.85

Combo
$8.35

HB
Combo, Grilled Onion ($0.75)

CBx2 $15.70
($7.85 each)

Combo

cB $5.00
Regular Price, Grilled Onion ($0.75)

Chill Fries $4.35

Subtotal $51.25
Sales Tax $5.25

 

Total $56.50
Cash $60.00
Change $3.50
"
55,"   

PTER

\

WINGS & THINGS
519 FULTON AVE. HEMPSTEAD NY
THANKS CALL AGAIN 516-483-0936

  
      
     
  

    

50P°_ #195 IN
400P! 1 #7 2PC R8B MEAL 5.99
200° ICED TEA
SUB CORNBREAD
50p! 1 #3 SWING MEAL 6.99
30P SIERRA
40¢ 1 SUB FIXN
MAC8CHZ

1 #3 SWING MEAL 6.99

ICED TEA
1 SUB FIXN
1 SP RICE
| 1 #3°SWING MEAL
| ICED TEA me
1 SUB FIXN

MAC&CHZ
1 COLL GRN = SMALL

 
    
    
   
   
   
   
   
   
   
   
   
   
   
     
   
     
  

ioe 1.19
TXTL a
2.43
TOTL
cs; 90.58

    
 

CuNe 40.00

 
"
56,"ZOCA RESTAURANT

@ GARFIELD PARKWAY.
j EACH, DE 19930

BETHANY B
302) 616-2120
WWW.ZOCA. RESTAURANT

Check #: 5033 ee
Server: Madi > an
Table: 31/2 Guests:

1 House Recipe
2 Sandia Margarita (@13.00/ea)

1 Totem Honey Bee

1 Queso Fresco Guacamole

1 Queso Fundido Mexi Street Corn Dip
1 Salsa De Molcajet

2 Taquitos Carne Asada (@15.00/ea)

1 Taquitos Baja California Shrimp

1 Mole Enchilada

1 Quesadilla Chicken

Sub-total

COMPLIMENTARY

ITEM COMPS:
1 Queso Fundido Mexican Street Corn Dip
12.00

 

Sub-tota]
"
57,"  

CAFE PARISIEN LARCHMONT LLC
242. N LARCHMONT BLVD
LOS ANGELES, CA 90004

(310) 815-8222

 

   
  
    

Dine In

Server: Kimberly L. Jan 24,2019

Receipt: YWGS 40:29 AM
Table: 36

Item(s)

CROISSANT AUX RAISINS $4.00

Cappucino $475

Subtotal $8.75

Sales Tax (9.5%) $0.83

Total $9.58

 

Customer Copy

 
"
58,"Tr
MiLAN ai
Clover | R.

4) Md,_ of 01
2

ORE G

 
"
59,"LANDFALL RESTAURANT
APRIL TO DECEMBER

0084 Table 31 #Party 3

DWYER M SvrCk: 13 11:47a 06/10/17
Separate checks: 6-of-6

1 CUP CHOWDER 6.00

Sub Total:

Tax

GRAT 18
06/10 1:399TOTAL :

0.40
15
“.55

LUNCH @& DINNER
WE TAKE RESERVATIONS
EST 1946

508-548-1758

 
"
60,"1660 India Street

Server: Jake
Table 24/1
Guests: 2

 

Balance Due

12/17/2017
6:29 PM
20018

12.00
11.00
27.95
23.75

74.70
6.00

2.80
83.50

83.50

*3.75% SC - In support
of the increases to min wage
o find out why, visit

wwW.wnlhosp.com/rttd
"
61,"Chili's Grill & Bar
Puente Hills #25
17588 Castleton 3t

City of Indust 31748

Server: Jose S
33/1
Guests:

TRIPLE DIPPER
CHICKEN WAFFLES4

Suototal

Total Tax

Total

 
"
62,"    

   
   

 

    
 

PREM WHITE 10.
PREN RED 10.
bier Soa 3.
Gone RIFIENE 9-
SCAMPI MILANZS-
LING YONG 22.
172 PASTA SP16_
OTer soa ae
2 op 3:

    
    
   
   
   
   
   
   
    
   
 
 
  

sustor
Tax
yoTaL

 
"
63,"FFimo yy

Family Restaurant

  
"
64,"porS-08-10 3:04 PM

0 L1 12
YOUR GUEST NUMBER IS
25

IN-N-QUT BURGER ESCONDIDO q

2013-08-10 02 PM
247 2 480 2152
Cashier: ADAM EL
Gheck : 25
Counter-Eat In
0b1Db) 3,30
WO KM
3X3 4.35
> GS only
FF 1.60
FF Animal 3,50
lg Coke VT
Ned Coke 1,50
#& © Shk Zod

Counter-Eat In 18.00
TAX 8.00% on

Amount Due $1 44
"
65,"Taco Maria
3313 Hyland Ave. Ste C21
Costa Mesa, CA 92626
714 538 8444
wow, tacomar ia .¢

Order# 118888

Server: Jesa R

Table: Bar 7

Date: 1/23/18, 12: A

Pescado
Arrachera solo

Subtotal:
Total Tax:

Order Balance due:

Suggested Gratuity
% Tip Total
18.00% of sale: $7.65 = $53.44
20.00% of sale: $8.50 = $54.29
22.00% of sale: $9.35 = $55.14

 
"
66,"RISTORANTE
BELLAGIO (CO)
TELEFONO 031/951888

 

 

TAV. 9  COPERTI 4
SALA UNICA
14/07/2019 16:23

4 COPERTO 12.00
2 ACQUA NAT 8.00
1 SALMERINO PIASTRA 18.00
1 TRENETTE AL PESTO 13.00
1 SPAGHETTI POM. BASILICO 10.00
1 FETTUCCINE RAGU’ 15.00

4 PATATINE-FRITTE

TOTALE

MANCIA/TIP

tees OL

Prego ritirare j
documento fiscale
alla cassa

   
   
  

6.90

82.0
"
67,"Anjappar Unettinad Artesta

18128 Pioneer Blyd
Artesia, Ca 90701
(562) 991-1801
www. anjapparla,com
Anjappar - Artesia

  
 

Order #004-864 Ticket #35

Dine In Table it

Seat:

Server: Deepthi Rk Beytee #1

Seat #1

1 Ghee Dosa 7.95
Kid is waiting

1 Anjappar Mutton Meals 14.95
1 Kaldosa 6.95
1 Plain Dosa 6.95
36 80
Sub Total 3.50.

 

Tax 15> wt
"
68," 

Cafe Eugene

1978 Solano Avenue
Albany CA 94706
510-647-9999

nia feetioene com

Table: Table 10
8

Date: 4/10)

    
  
 
 

   

Pork
| Pancakes
Side Bacon
2 Regular
$3.00 each

ubtota).
otal Ta;

  
"
69,"¥
River ViTlage Fani iy Restaurant
22825 Huron Rien Di
Rockwood, MI 4817
(734)236-403

Server: Jasmine & 12/19 8:02 AY

Check #7 Table 23

Apple French Toast 9.09
Coffee 92.29

subtotal $10.28
Tax $0.62
Total $10.90
f
7,99 early bird breakfast special
Nonday- Friday 7am ~ Bam
River village kayaking now open

Sunday-Thursday 7;00am-8:00en
Friday/Saturday 7:00an-3: 0pm
Pay at the cash register
Thank you!!

 
"
70,"G

Montebello, CA 90
(323) 477-1345

1 Ribeye Steak Lunch 10
> med-rare

SUB TOTAL:
Tax:

TOTAL:
>» Ticket #: 32 «

6/28/2019 2:16:34 PM
Jee ee E EEE E Roa da apg apRRPEEOE

10% Gratuity = $1.00
15% Gratuity = $1.50
20% Gratuity = $2.00

JERE SEER ERR EER ES Ea ES OR A

A

 
"
71,"SEO O OOO SOQ OOO OKIOKOOK KIRK IRI III
Trinity Restaurant

190 Jericho Tpke

Floral Park NY 11001

Tel. (616) 358-5584

Order 217510

02/18/17 10:20 PM Check 101244

Table 15 Cust. 2 Server 21 Kelly Bone
SAEHOOOOO OOOO OOOO OOK GIB IKI

1 Quesadilla 11.00
1 Pot Roast 18. 00
1 Fish An Chips 16.00
1 Side Salad 4,00
1 Dft Shock tor 5.50

2 Dft Guiness 15.00

able

Sub-total:

Total Due-

 
"
72,"QHANA HAWATIAN BBQ
4469 SLAUSON AVE

Maywood, CA 90270
(323) 771-9888

: karla Station: 8
Order #: 65193 Dine In
SETTLED
1 1/2 AND 1/2 COMBO 8.45
FRIED SHRIMP
SHORT RIB
1 1/2 AND 1/2 COMBO 7.95
BBQ BEEF
FRIED SHRIMP
2 FOUNTAIN MEDIUM 3.50

Bar Subtotal:
Food Subtotal:
Tax 1:

AMQUNT DUE:

Cash Tendered:

 

CHANGE:

>> Ticket #: 94 <<
Created: 6/1/2013 7:43:46 PM
SETTLED; 6/1/2013 7:44:18 PM

THANK YOU!

 

—————<«
"
73,"SuknayE4949-0 thane 626-585-9580
25S Felt Oaks Ave
Pasetent, a, 1105

Served by: 45/1/2019 2:25:37 px

Term 10-Transe Y/a-237624

 

ze Then Price

  
  
 
  
  
 
  
  

 

$11.93 Ary 2 Flow 1.88

   

‘rea car
eorova No: 05110
flferece Wo: 31212118
Card Tso:

 

feat: Sze
Aeoieatin: bu

 

 
"
74,"“he

Lin Buffet
2988 N. Expressway
Brownsville, TX
Prone See) 600

Hr O270

pate: Feti 24, 2019 Time: 03:22PM
Server: Kenya Judith  # Guest: 1
Bill: 0270

| 2 Weekend Buffet
2 Drink

Subtota |
sSales Tax

deverages 3,98
Food 27.18

Open Time : Feb 24, 2019 03:22PM

 
"
