,Zipcode,Latitude,Longitude,Address,prices,time
0,197005,,,,,
0,,,,,,
0,,,,,,
0,69109,,,,,
0,11201,-73.9903,40.694,210 Smith St,,12:26 AM
0,42149,,,,,
0,,,,,$13.56,
0,,,,,,
0,,,,,,
0,04300,,,,,13:17
0,,,,,,
0,,,,,,
0,94304,-122.1842,37.4334,,,5:31
0,32089,,,1146 Wilson St.,,1:19
0,216002,,,,$0.45,12:01
0,,,,,,
0,10031,-73.9507,40.8246,,,0pm
0,083140,,,"103 Ip
CASHIER NAST",$7,
0,00174,,,,$1,9:08
0,,,,,,
0,75019,-96.9805,32.9673,,,22:22
0,,,,,,21:06
0,20001,-77.0177,38.9122,,,
0,94103,-122.4147,37.7725,370 14th sq,$6.45,9:07
0,,,,,,8:09
0,,,,,,
0,30033,-84.2819,33.8123,2179 LAWRENCEVILLE HWY,$9.68,8:41
0,261492626,,,,,
0,,,,,$52.97,04:11PM
0,190000000,,,,,
0,0362002,,,,$5.00,01:96
0,,,,,$ 5.00,
0,4772943,,,,$72.20,3:47
0,,,,,,
0,91764,-117.6254,34.0763,405 W Vineyard,$4.9,4:54
0,866031719,,,2055 16th AVE,,07:53PM
0,,,,1 th 8 ist,,06:29
0,188799,,,,,17:00
0,,,,,,
0,1659170,,,1 Strips 2ct,$9.70,10:50
0,18301,-75.1735,41.0367,,$50.00,
0,127320,,,,,17:36
0,,,,,,
0,,,,,,
0,993758,,,,,20:17
0,847609714,,,"989 11444
Pct",,18:43
0,,,,,,20:48
0,0000005,,,1 Guest,$9,10:19
0,,,,,,8:56
0,,,,,,
0,10001,-73.9967,40.7484,"55 tc ee
211 WEST 34TH ST.",,
0,30194,,,4211 Waialae Ave,"$1,000",9:45 PM
0,85406,,,60 W CENTER ST,,
0,,,,,$793,15:07
0,201210307,,,9 North Bouna Viste Drive,$ 0.00,09:37
0,50076,-94.8571,41.5768,,,3:31
0,32935,-80.6524,28.1384,,,08:13
0,60137,-88.0648,41.8661,"00 pl
woodford",,10:43 PM
0,,,,,,
0,93309,-119.0627,35.3384,2217 Ashe Road,,
0,,,,,$ 50.00,
0,,,,,,
0,97291,-122.6762,45.5235,,,
0,91776,-118.0955,34.089,,,06:25PM
0,,,,,,
0,,,,,,07:56 PM
0,20071,-77.0146,38.8933,1831 Centre City Parkway,$21.00,6:29 PM
0,,,,,,
0,148946,,,,$9.90,7:54 PM
0,706140,,,,$5,6:46AM
0,,,,,$6,
0,00000180,,,,$37.85,
0,7624865,,,,,
0,47400,,,,,
0,,,,,,
0,96446,,,,$95,
0,92626,-117.9085,33.6801,,$398,
0,63138,-90.2065,38.8033,,,13:56
0,,,,,,
0,,,,,,
0,,,,,$6,
0,,,,,$6,
0,,,,,,
0,14850,-76.4966,42.4406,,$5.95,
0,19149,-75.0664,40.0369,,$5.01,
0,,,,,,
0,,,,,,
0,43365-01,,,,$20.85,
0,98129,-122.3321,47.6062,,,05:47PM
0,,,,,,
0,,,,"0 ee
F if e toast",,
0,,,,,,
0,78455833,,,,$8,12:57
0,78218,-98.4032,29.4969,,,9:09
0,,,,,,
0,01080949,,,,,
0,826053753,,,,$8.25,29:18 PM
0,,,,,,9:45
0,11034,,,,,
0,,,,,,
0,179070,,,,,
0,,,,,,
0,,,,,,
0,400776,,,,,18:09
0,61493,,,,,1AM
0,,,,,,
0,09130,7.8666,49.5118,,,
0,92626,-117.9085,33.6801,2701 Fairview Rd,$11.79,9:03
0,00500,,,,,
0,70041,-89.5242,29.3519,00 Gift Card!,$100.00,
0,,,,,,
0,79833743,,,,,
0,,,,,,
0,,,,00 Gift Card!,$50,
0,93010,-119.0464,34.2313,181 Arneil Rd,,12:06 PM
0,,,,,,
0,11067,,,,$318,1:36 PM
0,,,,,,
0,,,,,,
0,40000,,,,,
0,02128,-71.0257,42.3642,,$10,
0,14868,,,,,
0,,,,,,13:52
0,,,,,,
0,39747,-89.5696,33.4165,,,
0,,,,,$5.00,1:00
0,,,,,$0.00,
0,000345,,,,,2:00
0,,,,17 LiNbndge LAAR east,$58.00,
0,,,,,,
0,11908225,,,,,18:20
0,6267957,,,,,
0,,,,,$2,9:09
0,,,,,,
0,06013,-72.9444,41.7573,,,
0,,,,,,1am
0,,,,,,7:16
0,374482,,,,$6.50,19:57
0,70805292,,,,,
0,70093,-89.9906,29.8549,,,7:35
0,10475,-73.8278,40.8729,4012 BOSTON RD.,,
0,,,,,$6,14:05
0,,,,,,
0,390251,,,,,
0,031208,,,701 NE ANDRESEN ROAD,,
0,,,,,,
0,,,,,$60,
0,92801,-117.9546,33.8428,,$9.78,
0,938761301,,,,,11:06
0,,,,,$6,
0,25009,-81.7113,38.1823,,$ 8,
0,11034,,,,,
0,22777,,,,$9,12:47
0,,,,0 Peact,,
0,,,,,,
0,,,,,,
0,,,,,,
0,90401,-118.4907,34.0176,,$145.19,
0,,,,,,
0,89104,-115.1092,36.152,1 Ord,,
0,,,,,,
0,90401,-118.4907,34.0176,,$156.81,
0,60188,-88.137,41.9178,184 N GARY AVE,$6.80,6:40
0,45570,,,,,
0,100108,,,,,
0,5961528,,,,$35,10:04
0,,,,7 cst,$30.18,
0,34787,-81.5911,28.5423,,,
0,,,,,,
0,,,,,,
0,,,,,$2,
0,30004,-84.302,34.1124,5530 WINDWARD PKWY,,
0,345119,,,1 SpoSsq,$3.33,9:06
0,,,,,,
0,90402,-118.503,34.0349,,,20:09
0,,,,,,
0,,,,,,
0,23910,,,,$17.07,
0,,,,,$51.21,
0,,,,,$10.2,5:35
0,270765,,,505 Parnassus Avenue,$8.35,12:14
0,20034856,,,,$996,14:05
0,,,,,,
0,971326626,,,,,16:09
0,,,,,,19:08
0,,,,,,
0,4227900,,,,,
0,01753,,,,,11:13
0,,,,,,
0,23870,-77.4683,36.8143,,,
0,,,,,,
0,11372,-73.883,40.7513,1 Pot Roast,,7:16
0,062134,,,,,
0,130264,,,,,
0,,,,,,
0,,,,,,
0,021315233,,,,,
0,90254,-118.3955,33.8643,844 Hermosa Ave,,
0,,,,"10 ADJUST Hi
YOU HAVE",,
0,,,,,,
0,19325,,,16 South Water St.,$80,5:20 PM
0,94608,-122.2804,37.8365,,,
0,95708,,,,$957,
0,,,,,,
0,,,,,,
0,1021988,,,,,
0,,,,,$6.69,
0,,,,,$9.95,
0,94501,-122.2648,37.7706,"2660 5th Street,",,6:55 PM
0,015482,,,,$9.80,11:32 AM
0,,,,,,5:65
0,,,,,,
0,,,,,,
0,,,,,,
0,102579,,,,,
0,100109,,,,$81,14:90
0,10110,-73.9808,40.754,,,11:57
0,073914305,,,,,
0,,,,5 being the most,,19:19
0,,,,,,
0,,,,,,
0,,,,,$64.60,6:06
0,,,,,,
0,94109,-122.4186,37.7917,,,
0,,,,,,
0,001964802,,,,,
0,745007,,,,,
0,,,,,,
0,60502,-88.2616,41.7845,318 2900 KIRK RD,,14:25
0,,,,,$4,
0,99200,,,,,18:54
0,240083,,,364 Main Street,$16.00,5:24
0,,,,,,10:54
0,90250,-118.3493,33.9143,,,
0,,,,,,
0,096536,,,,,
0,15238,-79.8805,40.5346,5238 MAIN ST,,
0,,,,1 Guest,$7.95,8:08
0,800580,,,,,
0,,,,,,
0,,,,,$576,
0,916368,,,,$60,
0,,,,,,
0,90035,-118.3806,34.0531,8939 WEST,,08:37
0,,,,,,
0,,,,,,
0,91801,-118.1293,34.0914,,,06:52
0,,,,,$844,12:24
0,,,,,,
0,33139,-80.1564,25.7873,1120 15TH ST,$61.80,6:21
0,,,,,,
0,,,,,,
0,63562,,,,,
0,,,,,,
0,,,,136 EAST STATE STREET,,
0,,,,7 a the contest,,
0,,,,,$ 6.66,
0,,,,,,
0,,,,,,57:11
0,80465,-105.1746,39.6125,,$38.00,16:55
0,,,,,,
0,,,,,,
0,,,,,$64.60,6:06
0,,,,,,
0,11703,-73.3236,40.7321,1703 Bandera Road,,
0,,,,,,
0,57478406,,,,,16:09
0,46150,-85.6194,39.5742,"1177 HAN
Chk 1400 Guest]",,02:36
0,32308,-84.2246,30.4771,,,1:49 PM
0,,,,,,
0,,,,,$9.71,
0,,,,,,
0,,,,,$3.12,
0,01702,-71.4339,42.2822,50 Worcester Rd,$3.00,8:57 AM
0,60446,-88.0696,41.6404,,,3:46 PM
0,90460953,,,,$45,
0,,,,,$79,
0,,,,,,
0,46532,-86.5948,41.3931,,$9.17,
0,25576,,,,,07:44
0,91764,-117.6254,34.0763,405 W Vineyard,$4.9,4:54
0,15593,,,,,
0,2042367,,,,,19:41
0,,,,,,
0,12345,-73.9396,42.8142,,$9,19:07
0,,,,,,
0,1747315,,,163 Tropica Ave,,
0,,,,,$0.19,6:51
0,33140,-80.1337,25.8198,1 1959 GST,$31.24,8:03
0,100108,,,,,
0,,,,,,
0,,,,,,
0,99201,-117.4365,47.6665,,,8:43 PM
0,97668,,,,,
0,102730843,,,,,
0,,,,,,
0,,,,,,
0,00009,,,,$8.00,
0,39460052,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
0,131845182,,,2070 DUNDAS ST.,$100,16:35
0,33131,-80.1895,25.7629,177 Brickell Ave.,,
0,110006,,,,,
0,,,,,,
0,,,,1 Bacon Chdr,,
0,110016,,,,$6,
0,43570004,,,9001 WEST LAWRENCE AVE,,
0,,,,,$8.62,
0,,,,,$9.00,
0,111070,,,,,
0,0068242,,,,$8.76,2:46
0,345119,,,1 SpoSsq,$3.33,9:06
0,200910135,,,,,12:04
0,0000028,,,1 Guest,$7,1:09
0,21037,-76.5424,38.9149,,$28,14:27
0,,,,,,
0,,,,,,
0,30004,-84.302,34.1124,,,
0,,,,,,
0,,,,,,
0,43015,-83.0723,40.2932,,,
0,75006,-96.8825,32.9657,,,14:42
0,66445440,,,,,
0,10010-5106,,,"2014 Gst 2
Guest",,19:11
0,,,,,,
0,,,,,,
0,84600,,,,,21:18
0,,,,,,
0,,,,,,10:50
0,,,,,,
0,,,,,"$1,787.00",06:48
0,,,,,,
0,53713,-89.3971,43.0372,,$88,
0,,,,,,06:44
0,049839,,,,$78.00,1:52
0,,,,,,19:47
0,995424,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
0,,,,133 Worth Santa Cruz Avenue,$46,
0,,,,,,
0,40282,-85.6768,38.189,,,
0,,,,"60 AY
CGST",,12:49
0,3367111,,,,,
0,,,,,,
0,,,,,$60.00,13:56
0,23952,-78.2915,36.9291,4 Transt,$ 9.36,14:39
0,97668,,,,,
0,68088,,,,$17.00,10:44
0,98383,-122.6981,47.6621,,,
0,,,,,,
0,31280,,,"1280 i
5600 Cameron Rd.",$20,
0,130414,,,,$98,07:38
0,233001,,,"22 Marie Eve
EACT",,
0,37031974,,,,,22:10
0,50323,-93.7717,41.6294,3855 121ST ST,,12:59
0,607074207,,,,$356,
0,31108,,,,$29,
0,64015949,,,,,14:50
0,48147-,,,,,
0,,,,,,
0,63138,-90.2065,38.8033,,,13:56
0,,,,,,
0,,,,,$8,
0,,,,,$66.95,
0,,,,,,
0,91436,-118.4882,34.151,"1 Nanbre
st",,
0,,,,,,
0,,,,,,
0,,,,,,
0,0074347,,,,,
0,45555,,,,$3,
0,,,,,,
0,,,,,,
0,64000,,,,,
0,33131,-80.1895,25.7629,177 Brickell Ave.,,
0,,,,,,
0,,,,,,0pm
0,73000,,,1 Frite Best,,13:22
0,,,,,,
0,14623,-77.6344,43.0834,,$0.00,
0,,,,,,
0,,,,,$22,
0,,,,,,
0,64000,,,,,
0,,,,,,
0,,,,,,
0,,,,,$72.38,08:13
0,,,,,,
0,,,,,,10:35 AM
0,,,,,$ 5.00,
0,,,,,,
0,304099,,,,,
0,,,,,,
0,,,,,$6,
0,,,,,,
0,001002061,,,,,13:43
0,61004,,,,,23:26
0,202576451,,,,,
0,264949,,,,,1:18
0,012747247,,,,,
0,,,,,,09:65
0,91854,,,,,
0,,,,,,
0,92108,-117.1335,32.7783,7007 Friars Road,$37.68,0pm
0,,,,,,05:55PM
0,,,,,,07:09
0,076940,,,,,
0,,,,,,
0,,,,,,
0,1891989,,,,$3.9,
0,,,,1 GOLDEN ST,,
0,12017,-73.455,42.3223,,,
0,81970,,,,,
0,,,,,$5,
0,,,,,$7.91,
0,,,,,,
0,92262,-116.5347,33.8414,,,
0,,,,,$ 3,
0,,,,,,
0,,,,,,
0,,,,,,
0,36430,,,,,
0,,,,1 RED WAVE,,10:20
0,65383,,,,,
0,000009690,,,,$ 2.92,07:94
0,77018,-95.4266,29.8272,4400 YALE ST,,
0,,,,,,19:48
0,426001,,,"45 Pratap Nagar Ring Road,",,
0,,,,,,
0,40017446,,,,,6:46
0,10014,-74.0054,40.7339,,$4,
0,414779,,,,,46:35
0,,,,,,
0,,,,1728 Gst,,2:44PM
0,,,,,,
0,,,,,,
0,08330,-74.6962,39.432,,"$9,610",11:40
0,,,,,,
0,63047,-90.481,38.202,,,
0,,,,,$20,
0,51890510,,,,,21:10
0,121237,,,,,
0,,,,,,
0,985806505,,,,,
0,02708,,,,,
0,25123,-81.9145,38.7048,,,
0,89146,-115.2242,36.1424,,$5.00,
0,,,,,,
0,,,,1441 WEST,,
0,,,,,$460,
0,,,,,,
0,,,,,,
0,16928,-77.4357,41.9596,,$ 3.45,88:42
0,,,,,,
0,,,,,,
0,10708,-73.8353,40.9391,480 New Rochelle Rd,$9.00,
0,,,,4 chk 2606 est,,1:47PM
0,,,,,,
0,,,,,,
0,34000,,,,$51,
0,,,,,,
0,929572,,,35 Eagle Road,$5.00,
0,,,,,,5:09
0,39747,-89.5696,33.4165,,,
0,,,,,,
0,101098,,,,,
0,,,,"11 FRITH STREET,",,
0,0131284,,,,,12:49
0,,,,,$5.29,
0,61493,,,,,
0,30194,,,,"$1,000",9:45 PM
0,,,,,,
0,94043,-122.0775,37.4056,,$ 47.88,
0,00009,,,,$8.00,
0,,,,,,2:39
0,33139,-80.1564,25.7873,,,
0,,,,,$493,
0,,,,,,
0,09597,,,,,
0,,,,"1 Si emer
Teast)",,
0,,,,,,
0,98121,-122.3447,47.6151,,$2.78,
0,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
0,90772,,,6 East,,
0,,,,,,
0,,,,,,
0,14814,-76.9527,42.1455,,$41.83,7:12
0,21480,,,,,21:58
0,85226,-111.9198,33.3092,3455 West Frye Road,$25.00,17:39
0,190061,,,,$0,
0,01752,-71.5434,42.3509,355 Boston Post Rd West,,12:12 PM
0,32830,-81.569,28.3822,46 LG IF ST,,
0,90144,,,,,6:37 PM
0,206722019,,,,$701,
0,00022,,,,$2,
0,703809008,,,,,
0,32824,-81.3622,28.3932,"20 43PM
Soave",$4.97,3PM
0,,,,,,
0,,,,,,
0,,,,,$73.8,
0,42509711,,,,,23:98
0,,,,,,
0,184296,,,,$72.9,15:48
0,,,,"4 5 ee
nm ARST",,
0,10021,-73.9588,40.7685,25 East,,05:06
0,,,,,,
0,403241468,,,1 Chk 2709 bst,,04:00PM
0,916737083,,,,,5:65
0,20762,-76.8756,38.8062,,$5,2:29
0,2624959,,,,,
0,,,,,,
0,50091,,,,,10:01 PM
0,1202886,,,,,
0,,,,,$9.16,6:50
0,,,,,,
0,25403,-77.9747,39.5227,3795 Cleveland Ave.,,9:14
0,00009,,,,"$830,000.00",
0,10435,,,,,12:09
0,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,10:35 AM
0,012435333,,,"6 ST PANCRAS
WEST",,10:41 PM
0,,,,,,
0,12486,-74.0626,41.8338,,$8.00,
0,90211,-118.383,34.0652,,$413.44,8:12
0,39610,,,,$9.74,
0,,,,,,9:94
0,673121,,,,,
0,4153786,,,,,13:54
0,81207548,,,,,
0,,,,,,15:24
0,60610,-87.6336,41.9033,,,
0,11364,-73.7588,40.7428,,$4.98,5:20
0,,,,,,
0,12840,,,2840 Dey St,,2:12
0,400776,,,,,18:09
0,,,,,"$
1",
0,,,,,,
0,8888525,,,,,
0,,,,,,
0,,,,,,
0,63562,,,,,
0,35763900,,,5922 OST,$662.00,16:49
0,80111,-104.8799,39.6123,00 Guest,$66.00,
0,,,,,,
0,96122,-120.4691,39.8105,,$1,6:14
0,91796,,,,,49:16
0,79008,-101.3974,35.6678,,$5,
0,,,,2204 3 Cobb Dr,,
0,,,,,,08:05PM
0,09739,,,,,
0,20000737,,,69 F CARD.,$4,
0,,,,,,
0,08106,-75.0724,39.891,"610 W Nicholson Rd,",,04:24 PM
0,352544,,,"2544 a
Guest",$4,
0,39747,-89.5696,33.4165,,,
0,29205,-80.9997,33.9903,7452 DEVINE ST.,,
0,,,,,,
0,,,,1 Bacon Chdr,,
0,90904,,,,,
0,,,,,,2:32
0,,,,,,
0,,,,,$93.95,
0,,,,,,
0,407433428,,,,$5.34,
0,,,,,$594,
0,,,,,,
0,,,,,$54.99,
0,32561,-87.1639,30.3571,12 Via De Luna Drive,,9:58 AM
0,,,,,,
0,,,,,,
0,,,,,$45,06:44PM
0,5352754,,,,,04:11
0,51715-9300,,,200 Boston Pizza Gift Card,$200,
0,,,,,,
0,96121,-120.3895,40.1828,,,02:36
0,30194,,,,"$1,000",9:45 PM
0,,,,"1 ae
GST",,14:04
0,0015516,,,,,
0,,,,,,
0,,,,38 Gst,,11:38
0,,,,,,
0,,,,,,
0,32561,-87.1639,30.3571,12 Via De Luna Drive,,9:58 AM
0,,,,400 WASHINGTON ST.,$5,
0,,,,,,
0,,,,,,07:56 PM
0,,,,,$80,
0,,,,,,
0,117691718,,,,$60,01:14
0,,,,,,
0,10119,-73.9772,40.7808,250 WEST 34TH ST,$5.79,7:04 PM
0,445442,,,,,1:45
0,082336810,,,8 August,,
0,10001,-73.9967,40.7484,"55 aoe
211 WEST 34TH ST.",,7:30
0,,,,,$2,9:09
0,,,,,,
0,,,,,,
0,,,,1728 Gst,,2:44PM
0,,,,,,
0,16012,,,1 the 7750 Gst,,2PM
0,11900,,,,,
0,,,,,,
0,,,,"3 1
Host:",,
0,080233,,,,,
0,,,,,,
0,21263,-76.6205,39.2847,10 CARD,$16.28,6:00
0,,,,,,8:01 PM
0,,,,,,
0,,,,,$179.19,
0,,,,,,2:37
0,,,,,$76.32,
0,,,,,,
0,91799,,,,,
0,,,,,,
0,800105,,,1 Nugget 12ct,$18.83,
0,20182125,,,,,
0,201128706,,,,,9:05
0,33065,-80.2603,26.2729,,,6:44PM
