,Zipcode,Latitude,Longitude,Address,State,County,Time,prices,Store
46,17861,-77.0833,40.7725,,Pennsylvania,Snyder,,,Araxi Burger Aventura
47,,,,7390 Tavertave!,,,,,— ae
48,90404,-118.4733,34.0268,2501 Colorado Ave,California,Los Angeles,7:30 PM,,EXCELLENCE SERV!
49,96707,-158.087,21.3453,"5431 Kapolei Parkway,",Hawaii,Honolulu,5:47 PM,$77.49,KICKIN KAJUN KAPOLEI
50,,,,,,,12:45,,", BAR"
51,07601,-74.0503,40.8882,45 MAIN STREET,New Jersey,Bergen,12:30pm,$10.00,POOR’S
52,11001,-73.7058,40.7236,,New York,Nassau,,$94.18,aa. eae
53,,,,,,,,,Primo
54,90404,-118.4733,34.0268,,California,Los Angeles,11:47 AM,$8.85,BIG Jo's
55,,,,519 FULTON AVE.,,,,,PTER
56,19930,-75.0674,38.531,1 Queso Fundido Mexi Street,Delaware,Sussex,,,ZOCA RESTAURANT
57,90004,-118.3029,34.0762,,California,Los Angeles,40:29 AM,$9.58,CAFE PARISIEN LARCHMONT LLC
58,,,,,,,,,Tr
59,,,,,,,,,LANDFALL RESTAURANT
60,20018,-76.9762,38.9277,1660 India Street,District of Columbia,District of Columbia,6:29 PM,,1660 India Street
61,17588,,,,,,,,Chili's Grill & Bar
62,,,,,,,,,PREM WHITE 10.
63,,,,,,,,,FFimo yy
64,,,,"04 PM

0 L1 12
YOUR GUEST",,,3:04 PM,$1,porS-08-10 3:04 PM
65,92626,-117.9085,33.6801,3313 Hyland Ave.,California,Orange,,$9.35,Taco Maria
66,951888,,,,,,16:23,,RISTORANTE
67,18128,,,,,,,,Anjappar Unettinad Artesta
68,94706,-122.2954,37.89,1978 Solano Avenue,California,Alameda,,$3.00,Cafe Eugene
69,22825,,,99 early bird breakfast,,,,$10.90,¥
70,,,,,,,2:16,$2.00,G
71,11001,-73.7058,40.7236,,New York,Nassau,10:20 PM,,SEO O OOO SOQ OOO OKIOKOOK KIRK IRI III
72,90270,-118.1877,33.989,4469 SLAUSON AVE,California,Los Angeles,,,QHANA HAWATIAN BBQ
73,237624,,,,,,2:25,$11.93,SuknayE4949-0 thane 626-585-9580
74,,,,,,,,,“he
75,06518,-72.911,41.4097,2361 Whitney Ave,Connecticut,New Haven,,,SmokeBoxBBa
76,902480,,,,,,,,adise Restaurant ~~
77,07302,-74.0469,40.7221,103 MONTGOMERRY St,New Jersey,Hudson,7:14,$9.00,NAANCHING
78,142750,,,,,,1:20 PM,$2.33,Follow us on Instagram & Facebook
79,02540,-70.6217,41.5648,56 Scranton Ave.,Massachusetts,Barnstable,6:20PM,,FALMOUTH RAW BAR
80,35201,-86.8025,33.5207,,Alabama,Jefferson,9:25 PM,,Newark Buffet
81,,,,,,,,$9.97,Cashier: Tany
82,11814,,,,,,07:34PM,,SURATI FARSAN MART
83,042402,,,,,,11:24pm,,ev’ eco
84,27273,,,328 Washingtonstreet,,,,$42.00,Trattoria sapor ito
85,60148,-88.016,41.8721,"211 E Roosevelt Rd
Lombard,",Illinois,DuPage,4:10 PM,,Pita Pita - Lonbard
86,137017,,,,,,8:29 PM,$6,Table #2
87,,,,,,,,,
88,,,,,,,,$3.29,ert
89,90024,-118.4408,34.0637,,California,Los Angeles,,,53 PM
90,442031,,,,,,,$25,19
91,20910,-77.0338,38.9982,930 WAYNE AVE.,Maryland,Montgomery,8:03PM,,cITy TASTE
92,,,,,,,,,Dine_In
93,,,,,,,,,69°8 FW MBQNL € 9#
94,18911,-75.2482,40.3695,,Pennsylvania,Bucks,2:01 PM,$16.23,Pokeatery cv
95,96797,-158.0124,21.3982,450 Ukee St,Hawaii,Honolulu,,,Golden Coin
96,91723,-117.8843,34.086,,California,Los Angeles,08:44pm,$9.95,223 N. Citrus Ave
97,,,,,,,05:38,,Drive Thru
98,11501,-73.6398,40.7469,,New York,Nassau,10:54AM,$20,N
99,95113,-121.8916,37.3329,25 West San Fernando St.,California,Santa Clara,1:17,,Mexican Restaurant & Bar
100,16725,-78.6517,41.9059,6725 Stony Plain Rd,Pennsylvania,McKean,07:39,,Stony vy
101,22413,,,2413 BARTON ROAD,,,9:07,$9.50,KAZ RAMEN
102,10012,-73.9983,40.7255,204 Spring St,New York,New York,12:03,$3.95,ma
103,20910,-77.0338,38.9982,8012 Georgia Ave.,Maryland,Montgomery,,$42.74,Cristield seafood
104,28731,-82.3916,35.289,,North Carolina,Henderson,14:53,,Don Wan Hexican Restaurant
105,06114,-72.6807,41.7403,"615 Franklin Ave
Hartford,",Connecticut,Hartford,9:41,$21.50,The Place 2 Be
106,07057,-74.1079,40.8536,,New Jersey,Bergen,08:38 PM,$12.95,Lan Sheng
107,95628,-121.2611,38.6554,4323 Hazel Avenue,California,Sacramento,08:15PM,,MIKUNT JAPANESE
108,95677,-121.2366,38.7877,6661 stanford Ranch Rd.,California,Placer,,,0 Monge B80
109,,,,,,,18:38,$7.95,Hacienas fale ont 748:
110,94086,-122.0238,37.3764,1236 S Wolfe Rd,California,Santa Clara,6:35 PM,$8.95,Chelokababi
111,,,,,,,,,oda So
112,39139,,,736 OCEAN DRIVE,,,03:59PM,,", ="
113,14428,-77.835,43.0749,,New York,Monroe,04:18,,. Golden Panda Buffet
114,,,,,,,,,i
115,005625257,,,,,,7PM,,Rosebud on Rush
116,36561,-87.5815,30.281,,Alabama,Baldwin,11:45 AM,,io. 9862 06/08/19
117,310410,,,,,,,$ 158.07,"JAPANESE, STEAK"
118,,,,,,,,,Plain Potato
119,196812,,,,,,58:01,,PURCHIOE ny
120,11215,-73.9828,40.6669,"349 7 AVE,",New York,Kings,12:37PM,,RED & HOT zl
121,41501,-82.5173,37.5161,,Kentucky,Pike,3:28 PM,$71.58,of Portugal Restaurant
122,18539,,,,,,,,son Hexican Res
123,70124,-90.1094,30.0071,,Louisiana,Orleans,12:07PM,,Negr
124,43054,-82.7988,40.0847,5525 New Albany Road West,Ohio,Franklin,7:54 PM,$9.00,Firefly American Bistro
125,12065,-73.7851,42.8499,,New York,Saratoga,5:28,$3.95,CHATPATA RESTAURANT ING
126,,,,,,,,,CAGE
127,00100,,,,,,68:30 PM,,PIZZA HUT
128,16530,-80.0851,42.1292,,Pennsylvania,Erie,3:24,$15.00,KAAVERAS
129,33160,-80.1391,25.9449,3007 NE 163RD STREET,Florida,Miami-Dade,,,HIRO JAPANESE RESTAURANT
130,,,,,,,14:29,,BOA
131,90270,-118.1877,33.989,,California,Los Angeles,12:13 PM,$8.80,IAMBURGERS
132,33139,-80.1564,25.7873,1120 15TH ST,Florida,Miami-Dade,6:21,$61.80,VIA EMILIA 9
133,94015,-122.478,37.6787,,California,San Mateo,18:08,$29.88,MOONSTAR REST AURANT
134,160014,,,,,,9:16 PM,$21.73,KFC
135,90210,-118.4065,34.0901,,California,Los Angeles,,$8.50,rt Pe ae prive
136,173245,,,,,,12:34 PM,$13.13,The Shawarma Factory
137,27000,,,7000 Marine Ave,,,,,Navi Teriyaki
138,,,,,,,,$3.75,CASA CHAN RESTAURANT
139,00027,,,,,,22:06,,Ball No. 00027
140,130960,,,,,,,,SHAKE SHACK
141,110578007,,,,,,,$88,MAR YAUATC
142,00225,,,,,,10:16 PM,,Alue Bear Tavern
143,07030,-74.0329,40.7445,1058 Alexandr,New Jersey,Hudson,01:44PM,,Arthurs
144,10002,-73.9877,40.7152,81 Ludlow st,New York,New York,,,CHLOES1
145,,,,,,,05:19PM,,oF MIGUELS MEXICAN —
146,12709,,,2709 BEECHNUT ST,,,3:01,$2.25,Rihanna's Caribbean Restaurant
147,096959147,,,,,,9:12,,NEW DELHI
148,29408,,,518 Robertson Boulevard,,,,,Sonic Anerfea's drive
149,14424,-77.2846,42.8689,160 Fastern Boulevard,New York,Ontario,11:00,,pine In
150,,,,,,,,,Zia
151,190410008,,,215 Cypress Ave,,,12:00pm,$13.53,Collector's Choice Restaurant
152,91649,,,,,,6:12 PM.,$62.70,KALOOKI'S
153,2042967,,,,,,,,Gordon
154,320502,,,4105 Maine Ave,,,,,Server: Isabe]
155,771185,,,,,,,,Teo} a771185
156,,,,,,,,,
157,,,,,,,,,Thank You
158,001774428,,,1060 Odr,,,,,Te mia
159,,,,,,,,,Drive Thru Total
160,12247,-73.7562,42.6526,2247 Sheridan St,New York,Albany,9:32,$33.34,of ‘ee
161,,,,,,,,$ 5,Sub Tosser 50.
162,92101,-117.1593,32.7185,,California,San Diego,,,Junipel & IVY
163,11360,-73.7812,40.7807,,New York,Queens,12:41,,BEN’S BAYSIDE
164,,,,,,,11:01AM,,' fe
165,600561112,,,,,,,,12°16
166,77061,-95.279,29.6652,,Texas,Harris,,,PAPPADEAU X
167,,,,,,,,$3.00,$3.00
168,1100580,,,,,,12:13,,CARL’S JR
169,12206,-73.7744,42.6683,1883 CENTRAL AVE,New York,Albany,9:26 PM,,Delmonico'
170,91608,-118.3528,34.1383,,California,Los Angeles,7:57 PM,$100,Buca di Beppo
171,,,,,,,4:14,,DATE AND TIKE — PAX TABLE
172,,,,,,,11:48,$11.5,\ Station: 10
173,,,,,,,,,Tab le
174,34471,-82.1288,29.1605,2023 South Pine Avenue,Florida,Marion,09:16 pm,$9.65,ipanema
175,35866,,,365 The Bridge St.,,,4:42 PM,,Bar Louie Huntsville
176,90069,-118.3788,34.0906,"640 N ROBERTSON BLVD
west",California,Los Angeles,,,HEDLEYS
177,30076,-84.3104,34.0213,6910 E SUNRISE DR,Georgia,Fulton,8:00 PM,,E1 Charro Cafe Ventana
178,,,,,,,09:38PM,,3008 BAR PM B
179,91750,-117.7708,34.1159,2124 BONITA AVENUE,California,Los Angeles,5:38 PM,$8.00,FourthStreetMill
180,,,,,,,,,can seasoning
181,,,,,,,,,“ONT.
182,822819,,,,,,8:38,,4
183,18621,-76.0879,41.2459,,Pennsylvania,Luzerne,,,74 Hah “i9 W.
184,,,,,,,9:54,,PREFER ERAERRREREKEREEEE ER EREL EERE EEEEEEEEK OO
185,37011,-86.6722,36.0601,7011 Cook Street,Tennessee,Davidson,10:28 AM,,JT's Diner
186,,,,,,,,,rrimo
187,76205,-97.1282,33.1903,608 E Hickory St,Texas,Denton,,$90,SSS
188,85205,-111.7129,33.4368,,Arizona,Maricopa,4:02PM,,New China
189,,,,,,,,,A
190,10019,-73.9858,40.7651,764 9TH AVE,New York,New York,10:36,$9.66,2 aS >
191,26902,,,6902 9nd AVE,,,4:06,,MOD Pizza
192,,,,,,,,,
193,111590,,,,,,07:10PM,$5,111590 Becky
194,,,,,,,,,2 Dare Se
195,,,,1805 Parker RD,,,,,Amici Conyers
196,,,,,,,6:06,$35.00,NAMES CHARES
197,002004306,,,,,,12:41,,BAR RISTORANTE
198,33140,-80.1337,25.8198,1 4959 6ST,Florida,Miami-Dade,8:03PM,$31.2,stk Mia
199,,,,,,,,,aes vet Saat 9
200,,,,,,,,,
