,Zipcode,Latitude,Longitude,Address,Time,prices,Store Names
124,43054,-82.7988,40.0847,5525 New Albany Road West,7:54 PM,$9.00,
125,12065,-73.7851,42.8499,,5:28,$3.95,CHATPATA RESTAURANT ING
126,,,,,,,ey
127,00100,,,,68:30 PM,,PIZZA HUT
128,16530,-80.0851,42.1292,,3:24,$15.00,KAAVERAS
129,33160,-80.1391,25.9449,3007 NE 163RD STREET,,,HIRO JAPANESE RESTAURANT
130,,,,,14:29,,BOA
131,90270,-118.1877,33.989,,12:13 PM,$8.80,CASHIER MC
132,33139,-80.1564,25.7873,1120 15TH ST,6:21,$61.80,VIA EMILIA
133,94015,-122.478,37.6787,,18:08,$29.88,aaah
134,160014,,,,9:16 PM,$21.73,KFC
135,90210,-118.4065,34.0901,,,$8.50,BALDI
136,173245,,,,12:34 PM,$13.13,The Shawarma Factory
137,27000,,,7000 Marine Ave,,,Naui Teriyaki
138,,,,,,$3.75,CASA CHAN RESTAURANT
139,00027,,,,22:06,,Bill 00027 Bil2 Date
140,130960,,,,,,SHAKE SHACK
141,110578007,,,,,$88,MAR YAUATCHA
142,00225,,,,10:16 PM,,Bear Tavern
143,07030,-74.0329,40.7445,1058 Alexandr,01:44PM,,Arthurs
144,10002,-73.9877,40.7152,81 Ludlow st,,,CHLOEB1
145,,,,,05:19PM,,
146,12709,,,2709 BEECHNUT ST,3:01,$2.25,Restaurant
147,096959147,,,,9:12,,NEW DELHI
148,29408,,,518 Robertson Boulevard,,,Sonfe
149,14424,-77.2846,42.8689,160 Fastern Boulevard,11:00,,1n
150,,,,,,,DB wOoDrRD Res 2
151,190410008,,,215 Cypress Ave,12:00pm,$13.53,s Choice
152,91649,,,,6:12 PM.,$62.70,PM
153,2042967,,,,,,Steak
154,320502,,,4105 Maine Ave,,,Restaurant
155,771185,,,,,,Ware esse
156,,,,,,,Tax
157,,,,,,,Thank You
158,001774428,,,1060 Odr,,,RESTAURANT SDN BHD
159,,,,,,,Drive Thru Total 6
160,12247,-73.7562,42.6526,2247 Sheridan St,9:32,$33.34,
161,,,,,,$ 5,de Chinola
162,92101,-117.1593,32.7185,,,,Ivy
163,11360,-73.7812,40.7807,,12:41,,BAYSIDE
164,,,,,11:01AM,,the
165,600561112,,,,,,Home Det
166,77061,-95.279,29.6652,,,,PAPPADEAU X
167,,,,,,$3.00,
168,1100580,,,,12:13,,JR
169,12206,-73.7744,42.6683,1883 CENTRAL AVE,9:26 PM,,be 39
170,91608,-118.3528,34.1383,,7:57 PM,$100,Buca di Beppo
171,,,,,4:14,,DATE AND TIME PAX TABLE
172,,,,,11:48,$11.5,Ticket 1
173,,,,,,,Table
174,34471,-82.1288,29.1605,2023 South Pine Avenue,09:16 pm,$9.65,ipanema
175,35866,,,365 The Bridge St.,4:42 PM,,Huntsville
176,90069,-118.3788,34.0906,"640 N ROBERTSON BLVD
west",,,
177,30076,-84.3104,34.0213,6910 E SUNRISE DR,8:00 PM,,Charro Cafe
178,,,,,09:38PM,,Pu
179,91750,-117.7708,34.1159,2124 BONITA AVENUE,5:38 PM,$8.00,FourthStreetMill
180,,,,,,,ac
181,,,,,,,
182,822819,,,,8:38,,
183,18621,-76.0879,41.2459,,,,Subtotal
184,,,,,9:54,,
185,37011,-86.6722,36.0601,7011 Cook Street,10:28 AM,,Diner
186,,,,,,,
187,76205,-97.1282,33.1903,608 E Hickory St,,$90,Spiral Diner
188,85205,-111.7129,33.4368,,4:02PM,,China
189,,,,,,,876 2587
190,10019,-73.9858,40.7651,764 9TH AVE,10:36,$9.66,Bombay Grill House
191,26902,,,6902 9nd AVE,4:06,,Pizza
192,,,,,,,
193,111590,,,,07:10PM,$5,subt
194,,,,,,,7s omeIG cee
195,,,,1805 Parker RD,,,Amici Conyers
196,,,,,6:06,$35.00,DHHE
197,002004306,,,,12:41,,BISTORANTE
198,33140,-80.1337,25.8198,1 4959 6ST,8:03PM,$31.2,etiu hie
199,,,,,,,aes vext
